cod_ibge,municipio,regiao_planejamento,porte
2100055,Açailândia,24 – REGIÃO DOS CARAJÁS,Grande Porte
2100105,Afonso Cunha,07 – REGIÃO DO ALTO MUNIM,Porte I
2100154,Água Doce Do Maranhão,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte I
2100204,Alcântara,20 – REGIÃO DO PERICUMÃ,Porte II
2100303,Aldeias Altas,32 – REGIÃO DOS TIMBIRAS,Porte II
2100402,Altamira Do Maranhão,17 – REGIÃO DO MEARIM,Porte I
2100436,Alto Alegre Do Maranhão,25 – REGIÃO DOS COCAIS,Porte II
2100477,Alto Alegre Do Pindaré,21 – REGIÃO DO PINDARÉ,Porte II
2100501,Alto Parnaíba,27 – REGIÃO DOS GERAIS DE BALSAS,Porte I
2100550,Amapá Do Maranhão,15 – REGIÃO DO GURUPI,Porte I
2100600,Amarante Do Maranhão,23 – REGIÃO DO TOCANTINS,Porte II
2100709,Anajatuba,10 – REGIÃO DO BAIXO ITAPECURU,Porte II
2100808,Anapurus,07 – REGIÃO DO ALTO MUNIM,Porte I
2100832,Apicum-Açu,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2100873,Araguanã,08 – REGIÃO DO ALTO TURI,Porte I
2100907,Araioses,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte II
2100956,Arame,05 – REGIÃO DAS SERRAS,Porte II
2101004,Arari,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2101103,Axixá,11 – REGIÃO DO BAIXO MUNIM,Porte I
2101202,Bacabal,17 – REGIÃO DO MEARIM,Grande Porte
2101251,Bacabeira,11 – REGIÃO DO BAIXO MUNIM,Porte I
2101301,Bacuri,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2101350,Bacurituba,01 – REGIÃO DA BAIXADA MARANHENSE,Porte I
2101400,Balsas,27 – REGIÃO DOS GERAIS DE BALSAS,Médio Porte
2101509,Barão De Grajaú,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2101608,Barra Do Corda,28 – REGIÃO DOS GUAJAJARAS,Médio Porte
2101707,Barreirinhas,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Médio Porte
2101772,Bela Vista Do Maranhão,21 – REGIÃO DO PINDARÉ,Porte I
2101731,Belágua,07 – REGIÃO DO ALTO MUNIM,Porte I
2101806,Benedito Leite,09 – REGIÃO DO BAIXO BALSAS,Porte I
2101905,Bequimão,20 – REGIÃO DO PERICUMÃ,Porte II
2101939,Bernardo Do Mearim,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2101970,Boa Vista Do Gurupi,12 – REGIÃO DO BAIXO TURI,Porte I
2102002,Bom Jardim,21 – REGIÃO DO PINDARÉ,Porte II
2102036,Bom Jesus Das Selvas,24 – REGIÃO DOS CARAJÁS,Porte II
2102077,Bom Lugar,17 – REGIÃO DO MEARIM,Porte I
2102101,Brejo,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte II
2102150,Brejo De Areia,17 – REGIÃO DO MEARIM,Porte I
2102200,Buriti,07 – REGIÃO DO ALTO MUNIM,Porte II
2102309,Buriti Bravo,06 – REGIÃO DO ALPERCATAS,Porte II
2102325,Buriticupu,24 – REGIÃO DOS CARAJÁS,Médio Porte
2102358,Buritirana,23 – REGIÃO DO TOCANTINS,Porte I
2102374,Cachoeira Grande,11 – REGIÃO DO BAIXO MUNIM,Porte I
2102408,Cajapió,01 – REGIÃO DA BAIXADA MARANHENSE,Porte I
2102507,Cajari,30 – REGIÃO DOS LAGOS,Porte I
2102556,Campestre Do Maranhão,02 – REGIÃO DA CHAPADA DAS MESAS,Porte I
2102606,Cândido Mendes,15 – REGIÃO DO GURUPI,Porte I
2102705,Cantanhede,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2102754,Capinzal Do Norte,14 – REGIÃO DO FLORES,Porte I
2102804,Carolina,02 – REGIÃO DA CHAPADA DAS MESAS,Porte II
2102903,Carutapera,15 – REGIÃO DO GURUPI,Porte II
2103000,Caxias,32 – REGIÃO DOS TIMBIRAS,Grande Porte
2103109,Cedral,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2103125,Central Do Maranhão,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2103158,Centro Do Guilherme,12 – REGIÃO DO BAIXO TURI,Porte I
2103174,Centro Novo Do Maranhão,12 – REGIÃO DO BAIXO TURI,Porte I
2103208,Chapadinha,07 – REGIÃO DO ALTO MUNIM,Médio Porte
2103257,Cidelândia,24 – REGIÃO DOS CARAJÁS,Porte I
2103307,Codó,25 – REGIÃO DOS COCAIS,Grande Porte
2103406,Coelho Neto,32 – REGIÃO DOS TIMBIRAS,Porte II
2103505,Colinas,06 – REGIÃO DO ALPERCATAS,Porte II
2103554,Conceição Do Lago-Açu,17 – REGIÃO DO MEARIM,Porte I
2103604,Coroatá,25 – REGIÃO DOS COCAIS,Médio Porte
2103703,Cururupu,16 – REGIÃO DO LITORAL OCIDENTAL,Porte II
2103752,Davinópolis,23 – REGIÃO DO TOCANTINS,Porte I
2103802,Dom Pedro,14 – REGIÃO DO FLORES,Porte II
2103901,Duque Bacelar,32 – REGIÃO DOS TIMBIRAS,Porte I
2104008,Esperantinópolis,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2104057,Estreito,02 – REGIÃO DA CHAPADA DAS MESAS,Porte II
2104073,Feira Nova Do Maranhão,02 – REGIÃO DA CHAPADA DAS MESAS,Porte I
2104081,Fernando Falcão,28 – REGIÃO DOS GUAJAJARAS,Porte I
2104099,Formosa Da Serra Negra,05 – REGIÃO DAS SERRAS,Porte I
2104107,Fortaleza Dos Nogueiras,27 – REGIÃO DOS GERAIS DE BALSAS,Porte I
2104206,Fortuna,06 – REGIÃO DO ALPERCATAS,Porte I
2104305,Godofredo Viana,15 – REGIÃO DO GURUPI,Porte I
2104404,Gonçalves Dias,14 – REGIÃO DO FLORES,Porte I
2104503,Governador Archer,14 – REGIÃO DO FLORES,Porte I
2104552,Governador Edison Lobão,23 – REGIÃO DO TOCANTINS,Porte I
2104602,Governador Eugênio Barros,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte I
2104628,Governador Luiz Rocha,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte I
2104651,Governador Newton Bello ,08 – REGIÃO DO ALTO TURI,Porte I
2104677,Governador Nunes Freire,12 – REGIÃO DO BAIXO TURI,Porte II
2104701,Graça Aranha,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte I
2104800,Grajaú,05 – REGIÃO DAS SERRAS,Médio Porte
2104909,Guimarães,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2105005,Humberto De Campos,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Porte II
2105104,Icatu,11 – REGIÃO DO BAIXO MUNIM,Porte II
2105153,Igarapé Do Meio,21 – REGIÃO DO PINDARÉ,Porte I
2105203,Igarapé Grande,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2105302,Imperatriz,23 – REGIÃO DO TOCANTINS,Grande Porte
2105351,Itaipava Do Grajaú,05 – REGIÃO DAS SERRAS,Porte I
2105401,Itapecuru Mirim,10 – REGIÃO DO BAIXO ITAPECURU,Médio Porte
2105427,Itinga Do Maranhão,24 – REGIÃO DOS CARAJÁS,Porte II
2105450,Jatobá,06 – REGIÃO DO ALPERCATAS,Porte I
2105476,Jenipapo Dos Vieiras,28 – REGIÃO DOS GUAJAJARAS,Porte I
2105500,João Lisboa,23 – REGIÃO DO TOCANTINS,Porte II
2105609,Joselândia,14 – REGIÃO DO FLORES,Porte I
2105658,Junco Do Maranhão,12 – REGIÃO DO BAIXO TURI,Porte I
2105708,Lago Da Pedra,29 – REGIÃO DOS IMIGRANTES,Porte II
2105807,Lago Do Junco,29 – REGIÃO DOS IMIGRANTES,Porte I
2105948,Lago Dos Rodrigues,29 – REGIÃO DOS IMIGRANTES,Porte I
2105906,Lago Verde,17 – REGIÃO DO MEARIM,Porte I
2105922,Lagoa Do Mato,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2105963,Lagoa Grande Do Maranhão,29 – REGIÃO DOS IMIGRANTES,Porte I
2105989,Lajeado Novo,02 – REGIÃO DA CHAPADA DAS MESAS,Porte I
2106003,Lima Campos,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2106102,Loreto,09 – REGIÃO DO BAIXO BALSAS,Porte I
2106201,Luís Domingues,15 – REGIÃO DO GURUPI,Porte I
2106300,Magalhães De Almeida,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte I
2106326,Maracaçumé,12 – REGIÃO DO BAIXO TURI,Porte I
2106359,Marajá Do Sena,29 – REGIÃO DOS IMIGRANTES,Porte I
2106375,Maranhãozinho,12 – REGIÃO DO BAIXO TURI,Porte I
2106409,Mata Roma,07 – REGIÃO DO ALTO MUNIM,Porte I
2106508,Matinha,30 – REGIÃO DOS LAGOS,Porte II
2106607,Matões,19 – REGIÃO DO MÉDIO PARNAÍBA,Porte II
2106631,Matões Do Norte,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte I
2106672,Milagres Do Maranhão,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte I
2106706,Mirador,06 – REGIÃO DO ALPERCATAS,Porte II
2106755,Miranda Do Norte,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2106805,Mirinzal,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2106904,Monção,21 – REGIÃO DO PINDARÉ,Porte II
2107001,Montes Altos,23 – REGIÃO DO TOCANTINS,Porte I
2107100,Morros,11 – REGIÃO DO BAIXO MUNIM,Porte I
2107209,Nina Rodrigues,10 – REGIÃO DO BAIXO ITAPECURU,Porte I
2107258,Nova Colinas,27 – REGIÃO DOS GERAIS DE BALSAS,Porte I
2107308,Nova Iorque,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2107357,Nova Olinda Do Maranhão,08 – REGIÃO DO ALTO TURI,Porte I
2107407,Olho D´Água Das Cunhãs,17 – REGIÃO DO MEARIM,Porte I
2107456,Olinda Nova Do Maranhão,30 – REGIÃO DOS LAGOS,Porte I
2107506,Paço Do Lumiar,03 – REGIÃO DA ILHA DO MARANHÃO,Grande Porte
2107605,Palmeirândia,01 – REGIÃO DA BAIXADA MARANHENSE,Porte I
2107704,Paraibano,22 – REGIÃO DO SERTÃO MARANHENSE,Porte II
2107803,Parnarama,19 – REGIÃO DO MÉDIO PARNAÍBA,Porte II
2107902,Passagem Franca,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2108009,Pastos Bons,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2108058,Paulino Neves,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Porte I
2108108,Paulo Ramos,29 – REGIÃO DOS IMIGRANTES,Porte II
2108207,Pedreiras,18 – REGIÃO DO MÉDIO MEARIM,Porte II
2108256,Pedro Do Rosário,20 – REGIÃO DO PERICUMÃ,Porte II
2108306,Penalva,30 – REGIÃO DOS LAGOS,Porte II
2108405,Peri Mirim,20 – REGIÃO DO PERICUMÃ,Porte I
2108454,Peritoró,25 – REGIÃO DOS COCAIS,Porte II
2108504,Pindaré-Mirim,21 – REGIÃO DO PINDARÉ,Porte II
2108603,Pinheiro,20 – REGIÃO DO PERICUMÃ,Médio Porte
2108702,Pio Xii,21 – REGIÃO DO PINDARÉ,Porte II
2108801,Pirapemas,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte I
2108900,Poção De Pedras,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2109007,Porto Franco,02 – REGIÃO DA CHAPADA DAS MESAS,Porte II
2109056,Porto Rico Do Maranhão,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2109106,Presidente Dutra,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte II
2109205,Presidente Juscelino,11 – REGIÃO DO BAIXO MUNIM,Porte I
2109239,Presidente Médici,08 – REGIÃO DO ALTO TURI,Porte I
2109270,Presidente Sarney,20 – REGIÃO DO PERICUMÃ,Porte I
2109304,Presidente Vargas,10 – REGIÃO DO BAIXO ITAPECURU,Porte I
2109403,Primeira Cruz,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Porte I
2109452,Raposa,03 – REGIÃO DA ILHA DO MARANHÃO,Porte II
2109502,Riachão,27 – REGIÃO DOS GERAIS DE BALSAS,Porte II
2109551,Ribamar Fiquene,23 – REGIÃO DO TOCANTINS,Porte I
2109601,Rosário,11 – REGIÃO DO BAIXO MUNIM,Porte II
2109700,Sambaíba,09 – REGIÃO DO BAIXO BALSAS,Porte I
2109759,Santa Filomena Do Maranhão,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte I
2109809,Santa Helena,20 – REGIÃO DO PERICUMÃ,Porte II
2109908,Santa Inês,21 – REGIÃO DO PINDARÉ,Médio Porte
2110005,Santa Luzia,21 – REGIÃO DO PINDARÉ,Médio Porte
2110039,Santa Luzia Do Paruá,08 – REGIÃO DO ALTO TURI,Porte II
2110104,Santa Quitéria Do Maranhão ,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte II
2110203,Santa Rita,10 – REGIÃO DO BAIXO ITAPECURU,Porte II
2110237,Santana Do Maranhão,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte I
2110278,Santo Amaro Do Maranhão,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Porte I
2110302,Santo Antônio Dos Lopes,14 – REGIÃO DO FLORES,Porte I
2110401,São Benedito Do Rio Preto,07 – REGIÃO DO ALTO MUNIM,Porte I
2110500,São Bento,01 – REGIÃO DA BAIXADA MARANHENSE,Porte II
2110609,São Bernardo,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte II
2110658,São Domingos Do Azeitão,09 – REGIÃO DO BAIXO BALSAS,Porte I
2110708,São Domingos Do Maranhão,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte II
2110807,São Félix De Balsas,09 – REGIÃO DO BAIXO BALSAS,Porte I
2110856,São Francisco Do Brejão,24 – REGIÃO DOS CARAJÁS,Porte I
2110906,São Francisco Do Maranhão,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2111003,São João Batista,01 – REGIÃO DA BAIXADA MARANHENSE,Porte I
2111029,São João Do Carú,21 – REGIÃO DO PINDARÉ,Porte I
2111052,São João Do Paraíso,02 – REGIÃO DA CHAPADA DAS MESAS,Porte I
2111078,São João Do Soter,32 – REGIÃO DOS TIMBIRAS,Porte I
2111102,São João Dos Patos,22 – REGIÃO DO SERTÃO MARANHENSE,Porte II
2111201,São José De Ribamar,03 – REGIÃO DA ILHA DO MARANHÃO,Grande Porte
2111250,São José Dos Basílios,14 – REGIÃO DO FLORES,Porte I
2111300,São Luís,03 – REGIÃO DA ILHA DO MARANHÃO,Metrópole
2111409,São Luís Gonzaga Do Maranhão,17 – REGIÃO DO MEARIM,Porte II
2111508,São Mateus Do Maranhão,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2111532,São Pedro Da Água Branca,24 – REGIÃO DOS CARAJÁS,Porte I
2111573,São Pedro Dos Crentes,02 – REGIÃO DA CHAPADA DAS MESAS,Porte I
2111607,São Raimundo Das Mangabeiras,09 – REGIÃO DO BAIXO BALSAS,Porte I
2111631,São Raimundo Do Doca Bezerra,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2111672,São Roberto,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2111706,São Vicente Ferrer,01 – REGIÃO DA BAIXADA MARANHENSE,Porte II
2111722,Satubinha,21 – REGIÃO DO PINDARÉ,Porte I
2111748,Senador Alexandre Costa,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte I
2111763,Senador La Roque,23 – REGIÃO DO TOCANTINS,Porte I
2111789,Serrano Do Maranhão,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2111805,Sítio Novo,05 – REGIÃO DAS SERRAS,Porte I
2111904,Sucupira Do Norte,06 – REGIÃO DO ALPERCATAS,Porte I
2111953,Sucupira Do Riachão,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2112001,Tasso Fragoso,27 – REGIÃO DOS GERAIS DE BALSAS,Porte I
2112100,Timbiras,25 – REGIÃO DOS COCAIS,Porte II
2112209,Timon,19 – REGIÃO DO MÉDIO PARNAÍBA,Grande Porte
2112233,Trizidela Do Vale,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2112274,Tufilândia,21 – REGIÃO DO PINDARÉ,Porte I
2112308,Tuntum,04 – REGIÃO DA PRÉ-AMAZÔNIA,Porte II
2112407,Turiaçu,20 – REGIÃO DO PERICUMÃ,Porte II
2112456,Turilândia,20 – REGIÃO DO PERICUMÃ,Porte II
2112506,Tutóia,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Médio Porte
2112605,Urbano Santos,07 – REGIÃO DO ALTO MUNIM,Porte II
2112704,Vargem Grande,10 – REGIÃO DO BAIXO ITAPECURU,Porte II
2112803,Viana,30 – REGIÃO DOS LAGOS,Porte II
2112852,Vila Nova Dos Martírios,24 – REGIÃO DOS CARAJÁS,Porte I
2112902,Vitória Do Mearim,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2113009,Vitorino Freire,17 – REGIÃO DO MEARIM,Porte II
2114007,Zé Doca,08 – REGIÃO DO ALTO TURI,Médio Porte
